ID,Outcome Date,Animal ID,Name,Outcome Status,Euthanasia Reason,Type,Sex,Spayed/Neutered,Primary Breed,Primary Color,Secondary Color,Date of Birth,Intake Date,Days in Shelter,Timestamp,Outcome,Age at Intake,Age Unknown,Adopted,Intake Month,Adopted Prob,Adoption Prob %
94761,2026 Sep 11 06:58:21 PM,31530,Mavis,Adopted,,Kitten,Female,Yes,Domestic Shorthair,Brown Tabby,Unknown,2026-06-18,2026-08-13 12:28:00,29,2026 Sep 12 12:15:10 AM,Adopted,2.0,0,1,8,0.9895138226882746,98.95
94760,2026 Sep 11 06:50:58 PM,32564,Ariana Poquito,Adopted,,Kitten,Female,Yes,Domestic Shorthair,Brown Tabby,Brown Tabby,2026-08-01,2026-09-04 15:36:00,7,2026 Sep 12 12:15:10 AM,Adopted,1.0,0,1,9,0.9895138226882746,98.95
94756,2026 Sep 11 06:34:42 PM,32752,Pepper ,Adopted,,Kitten,Male,Yes,Domestic Medium Hair,Black,Unknown,2026-07-22,2026-09-09 15:04:00,2,2026 Sep 12 12:15:10 AM,Adopted,2.0,0,1,9,0.9895138226882746,98.95
94754,2026 Sep 11 06:29:00 PM,32881,,Transfer Out,,Kitten,Unknown,Unknown,Domestic Shorthair,Black,White,2026-08-28,2026-09-11 14:46:00,0,2026 Sep 12 12:15:10 AM,Transferred,1.0,0,0,9,0.0,0.0
94753,2026 Sep 11 06:29:00 PM,32886,,Transfer Out,,Kitten,Unknown,Unknown,Domestic Shorthair,Orange Tabby,Orange Tabby,2026-09-08,2026-09-11 17:17:00,0,2026 Sep 12 12:15:10 AM,Transferred,0.0,0,0,9,0.0,0.0
94752,2026 Sep 11 06:25:17 PM,32731,Lilo,Adopted,,Cat,Female,Yes,Domestic Shorthair,Black,Black,2025-08-01,2026-09-09 12:34:00,2,2026 Sep 12 12:15:10 AM,Adopted,13.0,0,1,9,0.7666666666666667,76.67
94749,2026 Sep 11 06:13:43 PM,32482,Danson,Adopted,,Cat,Male,Yes,Domestic Shorthair,Orange Tabby,White,2026-03-04,2026-09-03 11:06:00,8,2026 Sep 12 12:15:10 AM,Adopted,6.0,0,1,9,0.9047619047619048,90.48
94745,2026 Sep 11 06:08:33 PM,32749,Thunder,Adopted,,Kitten,Female,Yes,Domestic Medium Hair,Brown Tabby,Unknown,2026-07-22,2026-09-09 15:04:00,2,2026 Sep 12 12:15:10 AM,Adopted,2.0,0,1,9,0.9895138226882746,98.95
94739,2026 Sep 11 06:04:31 PM,32240,Letty,Adopted,,Kitten,Female,Yes,Domestic Shorthair,Black,White,2026-05-28,2026-08-28 13:36:00,14,2026 Sep 12 12:15:10 AM,Adopted,3.0,0,1,8,0.9895138226882746,98.95
94732,2026 Sep 11 05:42:00 PM,32667,,Return to Habitat,,Cat,Female,Yes,Domestic Shorthair,Black,Unknown,2025-09-08,2026-09-08 11:28:00,3,2026 Sep 12 12:15:10 AM,Return to habitat,12.0,0,0,9,0.7666666666666667,76.67
94728,2026 Sep 11 05:36:54 PM,32748,Liepard,Adopted,,Kitten,Female,Yes,Domestic Medium Hair,Smoke,Black,2026-07-08,2026-09-09 15:04:00,2,2026 Sep 12 12:15:10 AM,Adopted,2.0,0,1,9,0.9895138226882746,98.95
94727,2026 Sep 11 05:35:22 PM,32747,Purrloin,Adopted,,Kitten,Male,Yes,Domestic Medium Hair,Smoke,Black,2026-07-08,2026-09-09 15:04:00,2,2026 Sep 12 12:15:10 AM,Adopted,2.0,0,1,9,0.9895138226882746,98.95
94720,2026 Sep 11 05:04:24 PM,32507,Pumpkin,Adopted,,Cat,Male,Yes,Domestic Medium Hair,Orange Tabby,Unknown,2024-09-03,2026-09-03 13:12:00,8,2026 Sep 12 12:15:10 AM,Adopted,24.0,0,1,9,0.7666666666666667,76.67
94710,2026 Sep 11 04:35:17 PM,31529,Thomas,Adopted,,Kitten,Male,Yes,Domestic Shorthair,Orange Tabby,Unknown,2026-06-18,2026-08-13 12:28:00,29,2026 Sep 12 12:15:10 AM,Adopted,2.0,0,1,8,0.9895138226882746,98.95
94707,2026 Sep 11 04:25:00 PM,32750,Lightning,Adopted,,Kitten,Male,Yes,Domestic Medium Hair,Black,White,2026-07-22,2026-09-09 15:04:00,2,2026 Sep 12 12:15:10 AM,Adopted,2.0,0,1,9,0.9895138226882746,98.95
94705,2026 Sep 11 04:07:12 PM,32641,,Adopted,,Kitten,Female,Yes,Domestic Shorthair,Brown Tabby,White,2026-05-07,2026-09-06 18:13:00,5,2026 Sep 12 12:15:10 AM,Adopted,4.0,0,1,9,0.9047619047619048,90.48
94704,2026 Sep 11 04:01:00 PM,31303,Peas,Adopted,,Kitten,Male,Yes,Domestic Shorthair,Blue,White,2026-07-04,2026-08-08 14:12:00,34,2026 Sep 12 12:15:10 AM,Adopted,1.0,0,1,8,0.9895138226882746,98.95
94696,2026 Sep 11 03:25:54 PM,31304,Lima Bean,Adopted,,Kitten,Female,Yes,Domestic Shorthair,Brown Tabby,White,2026-07-04,2026-08-08 14:12:00,34,2026 Sep 12 12:15:10 AM,Adopted,1.0,0,1,8,0.9895138226882746,98.95
94692,2026 Sep 11 03:07:08 PM,32199,Bert,Adopted,,Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Unknown,2024-08-27,2026-08-27 15:36:00,15,2026 Sep 12 12:15:10 AM,Adopted,24.0,0,1,8,0.7666666666666667,76.67
94665,2026 Sep 11 02:02:00 PM,32864,,Transfer Out,,Kitten,Female,No,Domestic Shorthair,Black,White,2026-08-28,2026-09-11 13:01:00,0,2026 Sep 12 12:15:10 AM,Transferred,1.0,0,0,9,0.0,0.0
