"ID","Outcome Date","Animal ID","Name","Outcome Status","Euthanasia Reason","Type","Sex","Spayed/Neutered","Primary Breed","Primary Color","Secondary Color","Date of Birth","Intake Date","Days in Shelter","Timestamp"
"94761","2026 Sep 11 06:58:21 PM","31530","Mavis","Adopted",,"Kitten","Female","Yes","Domestic Shorthair","Brown Tabby",,"2026 Jun 18 12:00:00 AM","2026 Aug 13 12:28:00 PM","29","2026 Sep 12 12:15:10 AM"
"94760","2026 Sep 11 06:50:58 PM","32564","Ariana Poquito","Adopted",,"Kitten","Female","Yes","Domestic Shorthair","Brown Tabby","Brown Tabby","2026 Aug 01 12:00:00 AM","2026 Sep 04 03:36:00 PM","7","2026 Sep 12 12:15:10 AM"
"94756","2026 Sep 11 06:34:42 PM","32752","Pepper ","Adopted",,"Kitten","Male","Yes","Domestic Medium Hair","Black",,"2026 Jul 22 12:00:00 AM","2026 Sep 09 03:04:00 PM","2","2026 Sep 12 12:15:10 AM"
"94754","2026 Sep 11 06:29:00 PM","32881",,"Transfer Out",,"Kitten","Unknown","Unknown","Domestic Shorthair","Black","White","2026 Aug 28 12:00:00 AM","2026 Sep 11 02:46:00 PM","0","2026 Sep 12 12:15:10 AM"
"94753","2026 Sep 11 06:29:00 PM","32886",,"Transfer Out",,"Kitten","Unknown","Unknown","Domestic Shorthair","Orange Tabby","Orange Tabby","2026 Sep 08 12:00:00 AM","2026 Sep 11 05:17:00 PM","0","2026 Sep 12 12:15:10 AM"
"94752","2026 Sep 11 06:25:17 PM","32731","Lilo","Adopted",,"Cat","Female","Yes","Domestic Shorthair","Black","Black","2025 Aug 01 12:00:00 AM","2026 Sep 09 12:34:00 PM","2","2026 Sep 12 12:15:10 AM"
"94751","2026 Sep 11 06:23:00 PM","32808","Kilo","Reclaimed",,"Dog","Male","No","American Pit Bull Terrier","Tan","White","2023 Sep 11 12:00:00 AM","2026 Sep 10 01:58:00 PM","1","2026 Sep 12 12:15:10 AM"
"94749","2026 Sep 11 06:13:43 PM","32482","Danson","Adopted",,"Cat","Male","Yes","Domestic Shorthair","Orange Tabby","White","2026 Mar 04 12:00:00 AM","2026 Sep 03 11:06:00 AM","8","2026 Sep 12 12:15:10 AM"
"94745","2026 Sep 11 06:08:33 PM","32749","Thunder","Adopted",,"Kitten","Female","yes","Domestic Medium Hair","Brown Tabby",,"2026 Jul 22 12:00:00 AM","2026 Sep 09 03:04:00 PM","2","2026 Sep 12 12:15:10 AM"
"94739","2026 Sep 11 06:04:31 PM","32240","Letty","Adopted",,"Kitten","Female","Yes","Domestic Shorthair","Black","White","2026 May 28 12:00:00 AM","2026 Aug 28 01:36:00 PM","14","2026 Sep 12 12:15:10 AM"
